skill_name,cluster_id,cluster_size
use sanding machines,344,4
perform blending operations,7573,1
contribute to the choreographer's process of reflection,7604,1
perform bronchoscopy,8857,1
ensure soil fertility,9207,1
discharge of collected waste,7028,1
administer anaesthetics to patients,8829,1
check request legitimacy,7687,1
advise on preparation of diet food,7628,1
circus vocabulary,7633,1
drupal,6617,1
negotiate with employment agencies,9174,1
seat customers according to the waiting list,6178,1
install circuit breakers,7652,1
apply roll roofing,7656,1
broadcast using internet protocol,9158,1
maintain braking system,7735,1
review social service plan,706,3
advertise new book releases,8884,1
type at speed,7661,1
educate on sustainable tourism,4626,2
plan inspections for prevention of sanitation violations,993,2
tube filling systems,5858,1
3d lighting,6570,1
communicate mathematical information,6968,1
lead a team in fishery services,535,3
develop biochemical manufacturing training materials,8381,1
install electricity sockets,5114,1
discuss plays,7705,1
evaluate integrated design of buildings,9277,1
apply house wrap,3623,2
operate grappler,7488,1
use specialised equipment,7749,1
supervise camera crew,1909,2
prepare scientific reports,8447,1
calculate insurance rate,7770,1
database development tools,7775,1
prepare printing form,5941,1
diagnosis of mental health issues,384,6
promote one's writings,7811,1
blockchain design patterns,7799,1
take measurements of performance space,7803,1
implement risk management in procurement,8012,1
administer immunotherapy,1574,2
supervise plotting of stage lights,7815,1
use dictionaries,5751,1
prescribe treatment for musculoskeletal injuries,7994,1
research new photographic procedures,4308,2
seafood processing,9291,1
marklogic,7923,1
practical lexicography,1640,2
food and beverages on the menu,30,2
analyse scientific data,7854,1
supervise entertainment activities for guests,7862,1
monitor oil rig costs,8450,1
handle equipment while suspended,6557,1
provide membership service,7874,1
change over props,9034,1
voice interpreting,9188,1
types of condiments,8149,1
demonstrate leadership in social service cases,7882,1
evaluate nutritional value of feeds,7722,1
manage documentation for dangerous goods,7784,1
handle broken glass sheets,7920,1
mitigate waste of resources,7924,1
help customers with hair problems,8408,1
physico-chemical properties of hides and skins,899,2
protective measures against the introduction of organisms,5893,1
guide people to holding areas,7937,1
transfer soap,1205,2
define set materials,7943,1
install metal roofing,7958,1
apply prespotting,4843,1
web analytics,7965,1
lacquer spray gun parts,5297,2
mechanical requirements for vehicles in urban areas,6602,1
vessel traffic services,7975,1
maintain adequate medication storage conditions,6303,1
promote service users' rights,9137,1
operate fibreglass spray gun,7986,1
electrotherapy,7990,1
wine related sciences,2236,3
advise on heating systems energy efficiency,9030,1
penetration testing tool,784,2
produce wind musical instrument components,8005,1
perform daily maintenance on ship machinery,1866,5
owasp zap,8048,1
assemble toys,8016,1
escort students on a field trip,8031,1
evaluate vehicle ecological footprint,7419,1
collaborate through digital technologies,920,4
filter paint,8045,1
position glass on trays,8049,1
maintain register of shareholders,7548,1
create a diet plan,8046,1
agritourism,8050,1
modern brewing systems,611,2
interact verbally in hindi,4473,8
coordinate remote communications,7978,1
investigate competition restrictions,2302,3
beverages filtration processes,8055,1
make foundations for derricks,4937,1
shift energy demands,8081,1
instrumentation equipment,2969,2
control pumping operations in petroleum production,8093,1
oversee planning of security systems,8098,1
development trends in radiography,8101,1
manage rail yard resources,8110,1
study music,7598,1
drinks service operations,8117,1
calibrate electronic instruments,1369,5
represent special-interest groups' members,6669,1
clean kitchen equipment,3157,3
negotiate lawyer's fee,4863,1
controlled substances permits,5402,1
provide animal related information for legal proceedings,8143,1
perform risk assessment for fight actions,8304,1
create import-export commercial documentation,7129,1
perform soundchecks,8163,1
implement traceability systems,2937,2
adhere to standard operating procedures,8164,1
decant wines,8823,1
psychological healthcare services,7650,1
oversee cremations,8177,1
samurai web testing framework,8215,1
transfer bricks,8188,1
prepare animal materials for brush bristles,4095,1
manage livestock,1576,9
food service operations,168,2
legal case management,2853,2
mix paint,687,3
wood cuts,8976,1
give instructions to staff,8225,1
write situation reports,8882,1
shipping industry,2423,2
conduct visits to the postmortem room,4117,1
stages of normal development,4949,1
tend air-cleaning system,5534,1
manufacturer's instructions for audiovisual equipment,8250,1
select auxiliary equipment for photographic work,1107,2
administer treatment to animals,991,3
perform pre-assembly quality checks,8261,1
optimise financial performance,8267,1
match product moulds,8791,1
manage rivers and streams,1637,2
liaise with film exhibitors,8276,1
develop tourism destinations,23,5
eject filled capsules,7232,1
advise on bank account,2113,2
set up equipment for food production,8301,1
analyse logistic changes,8329,1
ensure quality of legislation,8323,1
local area tourism industry,9239,1
teach physics,8331,1
wax body parts,8334,1
develop online community plan,8353,1
sell furniture,7431,1
gather experimental data,1226,2
oversee spa maintenance,1042,2
assess studio production,4970,1
propose ict solutions to business problems,715,2
canvas (learning management systems),8371,1
understand budgetary limits,4866,1
reduce dots,3999,1
operate battery test equipment,887,2
use aquacultural heating equipment,8733,1
tend heated-air tower,5569,1
assist during take off and landing,8490,1
enforce regulations of selling alcoholic beverages to minors,3161,2
adjust fold plates,6150,1
select filler metal,8417,1
carry out maintenance on cage equipment and machinery,8416,1
vessel stability principles,1019,3
test edge crush,8479,1
street art history,8433,1
estimate cost of building materials,8436,1
formulate dietetic intervention,8441,1
think critically,8446,1
determine eye disease progression,285,2
battery formation,1069,2
analyse music score,8455,1
handle product separation in the sugar industry,8473,1
assess ict knowledge,7089,1
clean jewellery pieces,8466,1
metal and metal ore products,8678,1
natural history,8481,1
study radar images,8485,1
characteristics of services,7821,1
perform routine lube oil tests,8492,1
coordinate greenhouse environment,8496,1
handling of dangerous goods,297,3
decide on products to be stocked,2202,2
carry out neuropsychological testing,8526,1
embargo regulations,8539,1
english,8533,1
prepare reports on sanitation,8538,1
manage purchasing cycle,8540,1
sell second-hand merchandise,8546,1
monitor patients' progress related to treatment,1666,3
lead disaster recovery exercises,5572,1
clean vehicle interiors,4560,2
enhance production workflow,8566,1
apply colour coats,5993,1
lay bricks,1450,2
use equipment for safe stowage,7377,1
beer downstream processing,8586,1
natural gas,3294,2
tend textile finishing machines,834,7
set up additive manufacturing systems,1368,2
examine cost of antiquarian goods,8604,1
call-centre technologies,8608,1
manage shipment risks,8429,1
carry out pressure washing activities,8627,1
focus on service,8642,1
international commercial transactions rules,9171,1
accounting entries,135,3
design scientific equipment,583,2
conduct safe aircraft marshalling,7603,1
develop economic policies,39,2
art history,2870,2
adjust priorities,4331,1
handle incoming insurance claims,71,4
manage time in fishery operations,8670,1
install deicing boot,8682,1
conduct surveying activities for construction purposes,8686,1
electronic communication,996,2
clean tyres,8691,1
promote health in specialised care,8700,1
handle poultry,3141,2
tunnel boring machine console,8709,1
well testing operations,7214,1
maintain forest roads,5254,1
petroleum,8279,1
develop foot orthoses,5807,2
tend upsetting machine,2144,2
coordinate shifts,8731,1
oncologic hormone therapy,5851,1
validate raw materials,653,2
study craft trends,7322,1
proofread text,5276,1
risk assessment for window cleaning,7582,1
keep records of bid history,8761,1
livestock selection principles,7797,1
work in crises areas,8776,1
implement environmental action plans,1420,4
complete final musical scores,8785,1
review drafts,142,3
develop design ideas cooperatively,8800,1
administer spray tans,8955,1
officiate civil partnerships,238,2
naval architecture,8632,1
monitor pumping system operations,8826,1
prepare colour mixtures,8831,1
diagnose advanced nursing care,185,3
variety of tobacco leaves,8837,1
timing devices,8867,1
petrology,8846,1
use declaiming techniques,5959,1
conduct musical ensembles,5262,2
lubricate rolling stock wheels,3374,2
develop immigration policies,8876,1
scale copies,7314,1
coordinate sale of video and motion picture production products,9341,1
paediatric phlebotomy procedures,4692,1
control aquatic production environment,9221,1
engage others in environment friendly behaviours,1756,2
maintain privacy of service users,8902,1
analyse tree population,8905,1
advise customers on storage of meat products,13,3
work safely with machines,3870,1
write risk assessment on performing arts production,6154,1
discover acting talent,8825,1
inspect fish eggs,9044,1
use radar navigation,8934,1
assistive instruments,8945,1
monitor sports equipment,8949,1
track key performance indicators,7806,1
perform comprehensive eye examinations,8957,1
export regulations of dual-use goods,8968,1
citizen involvement in healthcare,8967,1
hand props to actors,8973,1
use new technologies in food manufacturing,4530,2
operate jackhammer,6210,1
install firestops,9043,1
tend weaving machines,3885,3
arrange customs inspection,8998,1
present storyboard,7796,1
install oil rig,9002,1
manufacturing of heating equipment,9008,1
vacuum surfaces,7327,1
historic public speakers,9029,1
flammable fluids,9024,1
establish daily priorities,5484,1
landscape analysis,8203,1
lead healthcare services changes,9091,1
develop solutions to information issues,1277,2
engage with rail stakeholders,9047,1
toxicology,3153,2
evolutionary biology,1583,2
ship related legislative requirements,9069,1
select soap shaping plate,9093,1
track train delays,8849,1
components of air conditioning systems,717,2
follow the news,9105,1
calculate the amount of cargo on a vessel,926,2
apply isopropyl alcohol,9167,1
cultural projects,9078,1
explosives,9116,1
operate the sound in the rehearsal studio,6601,1
lead research activities in nursing,922,2
electric generators,8960,1
manage the transportation of animals,959,6
perform detailed food processing operations,121,4
handle feathers,9200,1
manufacturing of taps and valves,5840,1
principles of cargo stowage,672,2
install vehicle accessories,401,2
operate armoured fighting vehicles,8327,1
complete administration,9186,1
determine maintenance schedules for airport equipment,9168,1
design interaction model,1094,2
obtain sponsorship,7381,1
operate theodolite,9247,1
manage a social work unit,8993,1
lip reading,5754,1
apply self-defence,1893,2
meet picking standards,9215,1
dry dog's coat for further treatment,6385,1
spray test panel,7289,1
pose questions referring to documents,6402,1
produce scanned images,2457,2
balance transportation cargo,9225,1
build a network of  suppliers in tourism,9249,1
diving operation requirements,3734,2
take samples during autopsy,1897,2
rubber technology,9252,1
maintain database security,6132,1
prepare documentation for international shipping,7082,1
regulate cutting speed,5790,1
monitor well costs,9266,1
provide information on hydrogen,9273,1
integrate scientific findings into music therapy practice,8970,1
history of dance style,1475,2
install tunnel segments,9340,1
calculate tote price,4673,1
inspect manufacture of rolling stock,5429,1
conduct regular aviation research,9183,1
set theory,9319,1
apply extruding techniques,3031,2
split animal carcasses,9316,1
fresh water ecosystems,9321,1
work under supervision in care,6642,1
manage gaming cash desk,1456,2
coordinate music components of the work,5266,1
manage data collection systems,9343,1
metrology,8595,1
troubleshoot cosmetics formula issues,4737,1
wheel impact load detector,7446,1
digital curation,6534,1
maintain relations with local representatives,4699,1
research areas for outdoor activity,1111,2
use threading techniques,67,2
liaise with colleagues,781,2
offer assistance to national citizens,4717,1
management systems standards,125,2
interview bank loanees,4725,1
participate in games for player distribution,5788,1
apply plastic resin layers,6931,1
provide secured transportation,1458,2
tend electron beam welding machine,182,4
allergic cosmetics reactions,4714,1
types of chain,6217,1
prevent fires on board,7596,1
ict hardware specifications,1053,2
prevent shoplifting,2374,2
correspond with licence applicants,8377,1
perform fundraising activities,1704,2
teach literacy as a social practice,4759,1
manage resources in food manufacturing,676,2
provide user support for electrical instruments,3930,1
control the production of game meat for human consumption,7972,1
share through digital technologies,4767,1
educate customers on tea varieties,1175,2
propose alternative rubber compound ingredients,2961,2
calculate aircraft weight,4816,1
adapt designers’ work to the performance venue,6144,1
managing a business with great care,6721,1
military combat techniques,1238,2
coordinate fire fighting,357,3
apply grammar and spelling rules,3693,1
define creative components,5439,1
carry out aerial tree rigging,4823,1
understand written english,505,3
install artwork in gallery,6453,1
enable audience participation,8883,1
funding methods,7618,1
blackarch,5973,1
manage buildings' damp problems,8037,1
provide information related to antique items,2048,2
prepare deck equipment,7569,1
remove coating,4838,1
engrave patterns,4839,1
utilise regular expressions,6087,1
operate shuttle car,4857,1
practise camera movements,4849,1
assist in fund management,8053,1
administer debtor's assets,5177,1
cure composite workpiece,4854,1
monitor moving workpiece in a machine,5922,1
correctional procedures,1397,3
collect tax,8560,1
advise on soil and water protection,4869,1
extinguish fires,2049,3
food materials,473,2
recommend personalised optical products to customers,7081,1
postpartum period,7707,1
delineate organs at risk,4897,1
maintain aquaculture water quality in hatcheries,925,3
vascular surgery,3327,2
pass on trade techniques,7551,1
coordinate transport staff training,8712,1
develop strategy to solve problems,1877,2
pharmaceutical manufacturing quality systems,1972,3
"guidance, navigation and control",4899,1
collect samples,1406,4
types of barley,4929,1
coat seams with hot pitch,6441,1
operate telehandler,8239,1
expand store regional presence,5141,1
design wind farm collector systems,4919,1
acoustical engineering,1741,2
ensure operability of protective equipment,322,2
advise customers on seafood choices,7988,1
report live online,4963,1
spelling,4933,1
maintain router machinery,3298,3
change window displays,7513,1
blood type classification,9061,1
transfer oil,7491,1
select artistic materials to create artworks,2381,2
manage financial transactions of fuel station,3304,2
perform refrigerant leak checks,6639,1
public service concession,8018,1
contact talent agents,4967,1
promote sports in schools,174,3
evaluate staff performance in social work,400,2
human anatomy,372,2
evaluate the psychological impact of hearing problems,2557,2
fibreglass laminating,9049,1
logistics,7947,1
investigate animal related incidents,1811,2
manage water distribution procedures,6060,1
footwear components,215,5
furniture industry,4287,2
maintain records of work with service users,618,2
install operating system,7450,1
create freight rate databases,7855,1
advise on historical context,5009,1
administer tour contract details,5037,1
anticipate logistics requirements for port operations,859,2
estimate value of used jewellery and watches,2312,2
maintain terrazzo,837,2
determine flow rate enhancement,5499,1
collect broken appliances,4525,2
use séance tools,5343,1
establish collaborative relations,8073,1
deal with public,8406,1
select items for auction,83,3
manage second level engines,5065,1
manage visual communications,5050,1
openedge database,6806,1
satisfy customers,1109,3
communicate by use of interpretation services,5059,1
pathological anatomy,9092,1
use experience map,5079,1
operate radio dispatch systems for taxis,5070,1
computer assisted language learning,5074,1
secondary school procedures,1538,3
refine edible oils,1240,2
maintain emergency vehicle equipment,9269,1
teach tourism principles,1026,2
prepare surface for hardwood floor laying,5093,1
blockchain-based services regulation,5722,1
develop leather goods collection,1432,2
energy transformation,5030,1
negotiate health and safety issues with third parties,8532,1
fine-needle aspiration,5135,1
wort boiling process,8702,1
perform necessary checks before moving aircraft onto stand,5143,1
rail construction engineering,4276,2
develop the physical language,5151,1
carry out scientific research in observatory,433,2
aid archive users with their enquiries,6776,1
evaluate restoration procedures,815,3
maintain cleanliness in the cloak room,6442,1
ensure adherence to the constitution,7502,1
set up audiovisual peripheral equipment,1606,3
battery management systems,5148,1
model electromagnetic products,5233,1
operate furnace,3691,3
install gas heaters,8683,1
rehabilitation of all organ systems,5159,1
perform vats,5160,1
tend coating machine,225,2
maintain nuclear reactors,943,2
estimate value of clocks,6520,1
encourage teambuilding,1014,6
finish shells,2579,1
optical glass characteristics,5179,1
implement biodiversity action plans,1058,2
transfer medical information,5187,1
determine crystalline structure,6583,1
advise customers on optical instruments maintenance,4208,2
follow-up lab results,7243,1
control gas-fired furnace for malt roasting,5213,1
conduct fitness risk assessment,5310,1
negotiate prices for transport of cargo,2097,2
inspect wind turbines,438,3
translate artistic concepts to technical designs,5234,1
transport blood samples,1159,2
clean parts of vessels,6304,1
operate tote board,3177,2
maintain inventory of vehicle cleaning supplies,3848,2
lead inspections,7819,1
craft ornamental plastering,8248,1
manage office facility systems,351,3
food and beverage industry,723,2
academic english,5278,1
operate die-cut machines,5279,1
teach esol literacy class,1555,2
tend cigar stamp machine,1759,2
advise on sustainability solutions,800,2
manage chiropractic staff,2094,2
monitor guest access,9077,1
practice gestalt therapy,5579,1
make electrical calculations,5303,1
monitor cashiers,5309,1
fill tile joints,7338,1
maintain power plant machinery,958,2
remove bead straps,6157,1
manage veterinary practice waiting area,9323,1
coating machine parts,481,3
basque,388,2
educate on data confidentiality,387,2
monitor fisheries,107,4
conduct health related research,8310,1
use earth sciences tools,1869,2
operate gear shaper,6937,1
robotic components,4483,1
clean road vehicles,8739,1
carry out inventory control accuracy,5352,1
arrange equipment repairs,1821,3
manage production of destination promotional materials,4439,2
maintain dredging equipment,4874,1
supervise medical residents,92,2
resuscitation,1953,2
ensure maintenance of fuel distribution facilities,8820,1
bathymetry,5376,1
qlikview expressor,9217,1
adapt fitness exercises,2480,2
develop drama production process,2100,2
assemble final product,2283,2
history of theology,8171,1
dressmaking,7228,1
develop biocatalytic processes,6993,1
determine visual concepts,5624,1
deploy ict systems,2140,2
compile wine lists,7765,1
replace cutterhead teeth,5420,1
monitor centrifugal separators,5504,1
produce slaked lime,5435,1
electroplating,867,5
hire background musicians,2716,1
exercise rights and responsibilities,5436,1
occultism,1319,2
perform farm equipment hygiene,1563,2
handover the service area,5463,1
scratch (computer programming),5467,1
advise on rehabilitation exercises,7473,1
identify forged documents,3011,2
ios,8428,1
facilitate the healing process related to sexual assault,472,3
administer materials to tea bag machines,5491,1
ensure products meet regulatory requirements,9212,1
coordinate the running of a performance,8217,1
discharge employees,8443,1
load film,6482,2
use modern electronic navigational aids,7574,1
use scripting programming,578,2
model groundwater,316,2
maintain client debt records,5244,2
work with healthcare users' social network,5498,1
assist animal birth,8256,1
operate mining tools,8453,1
keep up to date on costume design,5506,1
sell flowers,9031,1
interpret hematological test results,5239,1
supervise deposit slips,5568,1
virtual reality,596,2
probability theory,9066,1
operate grader,6264,1
recruit animal handlers,2308,2
sharpen edged tools,2254,2
set up pyrotechnical equipment,205,3
test semiconductors,684,2
follow translation quality standards,1196,2
use a telecine,5585,1
operate grease gun,5550,1
diagnose fuel systems,5559,1
teradata database,6683,1
install in-floor and in-wall heating,5596,1
secure cargo in stowage,8025,2
recognise patients' reaction to therapy,5570,1
develop technical glossaries,8314,1
plan space satellite missions,5678,1
test cigars,6480,1
use curing room equipment,9156,1
use motivational incentives in addiction counselling,5580,1
neuro-ophthalmology,4390,2
radiobiology,2484,2
check functionality of essential components of airport vehicles,2938,2
communicate using non-verbal language,2717,1
communication disorders,523,3
grade pulp,1389,2
negotiate service with providers,6456,1
manage troop deployment,5597,1
formulate cosmetic products,862,2
coordinate activities in audio recording studio,8368,1
apply supports for spinal adjustment,6138,1
manage lottery operations,2068,2
innovation in nursing,576,2
use firearms,5616,1
chef (tools for software configuration management),8460,1
fit dental appliances,1584,2
manage technical security systems,2,4
maintain an artistic portfolio,5634,1
movement techniques,3748,1
tell a story,6329,1
adapt costumes,1039,2
monitor stationary rail sensors,5647,1
forecast human population trends,8090,1
manage occlusion,6816,1
manage event structure installation,5691,1
provide pouring holes in moulds,9304,1
veterinary clinical sciences,2038,5
oil seed process,2274,2
tufting technology,5698,1
supervise betting operations,3880,2
credit card payments,5703,1
design automation components,609,2
calculate costs of repair operations,9250,1
diagnose respiratory diseases,4975,1
apply advanced manufacturing,5915,1
enable access to services,5752,1
take disease prevention measures,931,2
plant vine yards,5711,1
create animal structure,1699,2
assess administrative burden,5763,1
operate liquid soap pumps,5720,1
adjust rolling slide,4882,1
tow a tractor implement using the power take-off,5894,1
create patterns for footwear,1304,2
negotiate land acquisition,1268,2
apply for work permits,6613,1
detect flaws in pipeline infrastructure,1562,3
maintain audiovisual equipment,200,3
counsel patients on fertility treatments,8596,1
perform aircraft maintenance,1928,2
training equipment for riding,2935,2
coffee grinding levels,7053,1
learning management systems,392,3
arrange customs documents,8959,1
adjust drying process to goods,2352,2
provide input to collaborators to guide their work,5793,1
ensure legal accreditation for forwarding agent operations,5795,1
electrolytic passivation process,5776,1
log transmitter readings,6021,1
machine learning,981,2
perform bone marrow transplant,16,3
analyse potential threats against national security,658,2
devise special promotions,7293,1
prepare credit offers,7364,1
calculate sales commission,6973,1
computational biology,4833,1
facilitate the bidding process,5671,1
precision engineering,129,3
promote balance between rest and activity,5837,1
enforce fuel storage regulations,2915,1
interact with clients in forestry,6207,1
operate latex transfer pump,5120,1
supervise pool activities,6921,1
adjust liquefaction temperature,5879,1
analyse energy consumption,2284,2
ensure student welfare,5849,1
create safe working protocols,5873,1
operate patternmaking machinery,5852,1
project anarchy,5896,1
advise customers on purchasing furniture appliances,5856,1
upholster transport equipment's interior pieces,5546,1
timber products,2299,3
risk financing techniques,5389,1
cyber security,5868,1
drive carriage,5061,1
manage artworks' transportation,7859,1
maintain clocks,1229,3
attract gamers,4918,1
perform dances,2642,3
develop training programmes,374,3
close circuit breaker,8099,1
provide chaperone for children on set,4763,1
manage train working timetable,1177,4
calculate chemical concentration,5923,1
transportation methods,213,3
interpret electroencephalograms,5547,2
manage time,9062,1
manage sound quality,1020,2
set up lathe compound,5916,1
calculate design costs,7481,1
apply digital security measures,208,2
monitor construction site,1290,2
repair electronic components,877,2
treat wood,134,3
accompany people,5928,1
prevent domestic accidents,5947,1
ensure health and safety in escort services,482,3
genetic engineering,302,2
manage credit union operations,5957,1
select aquaculture equipment,2136,5
therapeutic massage,724,3
manufacturing of steam generators,7090,1
operate financial instruments,5954,1
apply floor adhesive,2158,2
develop business plans,2780,3
direct event administrative details,5961,1
clear pipelines,5963,1
electronic business,6022,1
integrate gender dimension in research,5990,1
social network analysis,5781,1
use measurement instruments,3462,2
make an informed use of the health-care system,22,2
saw off filament mandrel pins,4593,1
test materials,1335,3
medical laboratory technology,1639,2
toys and games trends,2651,2
supervise the management of an establishment,9314,1
prepare audiologist patients for assessments,677,2
apply quality standards to the interaction with candidates,7914,1
operate envelope machine,6007,1
fabricate belts,4595,1
inform on renting agreements,8718,1
organise an exhibition,600,7
organise retail sampling events,6287,1
use performance 3d visualisation techniques,6041,1
apply territory planning,5293,1
stenography,5479,1
establish connections with young people,7390,1
olfaction,5483,1
airtight storage,6047,1
liaise with shareholders,6055,1
carry out calculations,1605,2
inspect staff,6058,1
support distressed emergency callers,1176,2
bible texts,7615,1
gas chromatography,6068,1
monitor customer safety on apron,6237,1
conduct pregnancy massages,5607,1
park guest's vehicle,6074,1
characteristics of faces,4043,1
alkylation,6089,1
ensure the positioning of the patient for surgery,470,3
correct potentially harmful movements,8324,1
dimension stone,8311,1
follow up online user requests,5782,1
assess project resource needs,6095,1
use weft preparation technologies,5112,1
objectstore,8711,1
manage emergency evacuation plans,2655,2
maintain plant health,6108,1
determine the sex of the animal,6951,1
interpret data in food manufacturing,6113,1
clean honey from pollen,314,2
contribute to specialised publications,6153,1
install insulation material,1247,3
weigh materials,568,2
tai chi,5900,1
establish site security routines,8349,1
set up ramps in airports,5455,1
maintain soap production equipment,8034,1
dress actors,6275,1
integrate principles of training,5717,1
store products,2922,2
handle returns,6183,1
create theatre workbooks,6347,1
perform forest diseases control,1465,2
perform physical stress tests on models,6162,1
typology,4724,1
provide specialist pharmaceutical care,7249,2
provide domiciliary eyecare,8645,1
manage environmental management system,700,2
advise on family planning,6177,1
ornithology,8541,1
study cultures,6497,1
polling techniques,6211,1
monitor military equipment use,6185,1
manage mechanically controlled livestock production environments,6174,1
evaluate events,7817,1
plan evaluation,737,3
cut carpet,1485,2
paleontology,1126,3
operate foil printing machine,1479,4
escort pedestrians across streets,6209,1
ensure client orientation,7021,1
create event-specific menus,8125,1
process-based management,8212,1
torah,6220,1
monitor the effects of medication,2517,3
keep up to date on product knowledge,7927,1
compass navigation,8297,1
change shelf labels,4470,1
neuroanatomy,2634,2
anticipate installation maintenance,8382,1
ensure flock safety,88,2
personnel planning in emergency response,3970,2
manage cadastre,5371,1
create ceramic work by hand,4377,2
monitor storage vessels used to transport goods via pipeline,7109,1
types of arrows,8767,1
change soap filter,8589,1
operate voice picking systems,5189,1
green computing,6257,1
understand the conceptual dimension of a live performance,2675,3
advise on utility consumption,6263,1
support migrants to integrate in the receiving country,5139,1
curriculum standards,1390,2
produce customised tools,5690,1
resolve equipment malfunctions,1688,2
develop communication networks with shipping sites,6272,1
prevent kiln loss of heat,9115,1
advise on art handling,3395,2
pour molten metal into moulds,4163,2
control temperature,8852,1
advocate for others,1890,2
operate sand blasting cabinet,839,2
wire control panel,7305,1
identify security threats,1143,2
pump products for storage,2000,2
redirect callers,6308,1
instruct on allergic reactions to anaesthetics,2996,2
execute software tests,696,3
brief hospital staff,6320,1
develop code exploits,6795,1
maintain medical devices,1231,2
coordinate membership work,6344,1
locate fossils,3237,4
install glass frames,1308,2
empathise with the woman's family during and after pregnancy,6348,1
develop gas distribution schedule,1173,2
coordinate charity services,3686,2
attend to detail in casting processes,628,3
examine advertisement layout,8001,1
assess the life cycle of resources,5110,1
manage content metadata,7006,1
write sardinian,499,4
italian,424,2
alternative fuels,569,2
identify support mechanisms to develop your professional practice,6364,1
design package,8390,1
prepare performance training session,746,2
manipulate metal,2101,2
build electronic prototypes,8044,1
care for living pets in the store,6915,1
types of paper,6377,1
communicate in foreign languages with health service providers,891,3
use wood chisel,2054,3
style a dog's coat,4719,1
contribute to bilge and ballast operations,5769,1
manufacturing of daily use goods,6390,1
prescribe exercises for controlled health conditions,1416,2
find a replacement for stage manager,6831,1
connect vehicle maintenance and operations departments,710,2
influence voting behaviour,8749,1
legislation about animal origin products,2082,2
remove posters,9315,1
tend prepared animal feeds equipment,9182,1
analyse data for policy decisions in trade,6417,1
advanced driver assistant systems,6469,1
coordinate artistic production,561,6
analytical methods in biomedical sciences,7475,1
apply change management,6433,1
teach boating principles,7960,1
manage medium term objectives,1348,3
wear cleanroom suit,8285,1
build business relationships,6445,1
bundle fabrics,7342,1
manage port operations,3339,2
allocate numbers to clients' belongings,6468,1
identify energy needs,1170,2
compile airport certification manuals,6471,1
define part requirements,6473,1
grovo,6495,1
mill operations,6470,1
research immune system malfunctions,6309,1
ensure customs compliance,718,5
operate water purifying equipment,669,2
types of bath tubs,8916,1
design information system,6492,1
perform sample testing,8070,1
carry out naming strategies,6455,1
study human societies,6879,1
materials for interior design,8639,1
petroleum coking techniques,502,2
maintain responsive design,5608,1
feed hoppers,7085,1
legal studies,3967,2
first response,7566,1
arrange interlibrary loans,6585,1
phenomenology,9226,1
process customer requests based on the reach regulation 1907 2006,7107,1
lab scale fermentation,5565,2
advise customers on photography,7938,1
apply socially just working principles,6986,1
sakai,6531,1
driver's license structure,6889,1
prepare facade cladding,6542,1
advise on social security benefits,6549,1
proteomics,5166,1
human psychological development,6552,1
analyse stress resistance of products,2794,2
polish furniture,6556,1
conduct gross examination of tissues,7553,1
measure customer feedback,4284,2
complete transaction procedures for returned vehicles,5591,1
identify land mines,8489,1
apply massage therapy,528,6
set up crane,992,8
collaborate with technical experts on artworks,6576,1
plan the dispatching of products,9211,1
forecast sales over periods of time,1359,2
maintain ict system,109,12
operate paper stitching machine,70,3
use specific writing techniques,5584,2
promote mental health,6625,1
manage car park operations,6598,1
animal food products,2200,3
orthodontics,1651,2
give swimming lessons,5358,1
monitor national economy,8061,1
make referrals to ophthalmology,3905,2
deal cards,5515,1
maintain psychological well-being,8051,1
operate hatchery trays,6632,1
use traditional illustration techniques,3258,2
design scale models,8379,1
measure metal to be heated,6647,1
remove contaminants,6755,1
use intense pulsed light technology,6663,1
solar panel mounting systems,3904,2
write yiddish,2185,2
grade foods,6659,1
create garden areas,9042,1
identify energetic meridians,6671,1
provide emotional support to the bereaved,536,2
write slovenian,1106,6
accurately estimate work hours,1882,2
perform balance sheet operations,5152,1
comprehend financial business terminology,4876,2
job market offers,6684,1
vocational rehabilitation,6686,1
manage maintenance operations,260,5
analyse travel alternatives,7928,1
operate cutting equipment,2664,4
write records for repairs,8911,1
sell power tools,8747,1
understand written hebrew,1774,3
plan software testing,6706,1
prepare animals for veterinary surgery,1588,3
write tamil,466,7
operate raw mineral separation equipment,3349,2
maintain records of financial transactions,375,3
understand written basque,1488,3
encourage healthcare user's self-monitoring,5446,1
prescribe physical therapy to animals,2248,3
maintain mechanical equipment,1579,9
lay sewer pipe,1740,2
cope with decompression,5211,1
agricultural business management,844,2
instruct kitchen personnel,7501,1
apply measures to prevent snow removal safety hazards,2288,2
manage ict data architecture,412,2
prepare road directions,6760,1
propose settlements,3637,2
perform copywriting,6773,1
packaging processes,479,5
assist with emergencies,793,6
follow a brief,4761,1
maintain imaging equipment,84,4
tend blanching machines,1804,2
recommend books to customers,2521,2
prepare flight reports,6783,1
understand written maltese,3038,3
tend confectionery manufacturing equipment,6788,1
similitude,6648,1
belay techniques,6803,1
check the production schedule,6754,1
identify artistic niche,8040,1
range of spirits,6801,1
handle rental overdues,40,2
investigate soil stability,8866,1
check the received biological samples,3403,1
evaluate mine development projects,6812,1
sa8000,6155,1
types of heat sealing,6818,1
food preservation,4368,2
treat neurological disorders,6822,1
appraise historical documents,5784,1
distinguish lumber categories,6832,1
perform carbonation processes,141,3
marksmanship,6851,1
