topic_name,topic_description
Reflex,"automatic, subconscious response to a stimulus"
Diarrhea,loose or liquid bowel movements
Accountability,"concept of responsibility in ethics, governance and decision-making, which encompasses answerability, blameworthiness, liability, and the expectation of account-giving"
Wildlife,undomesticated organisms that grow or live wild in an area without being introduced by humans
Senescence,gradual deterioration of function characteristic of most complex lifeforms
Weighting,The field of study related to Weighting.
Fractal,mathematical set of non-integral dimension
Dark matter,mysterious non-luminous matter (and/or radiation) comprising most of the matter in our observable universe
Arid,severe lack of available water
Acetylcholine,chemical compound
Profitability index,mathematical economic formula
Steric effects,geometric aspects of ions and molecules affecting their shape and reactivity
Virtual reality,computer-simulated environment simulating physical presence in real or imagined worlds
Information system,"combination of information, resources, activities and people that support tasks in an organization; group of components that interact to produce information"
Industrial engineering,branch of engineering which deals with the optimization of complex processes or systems
Random forest,statistical algorithm that is used to cluster points of data in functional groups
Oscillation (cell signaling),type of cell signaling characterized by the periodic change of the system in time
Referral,transfer of medical care for a patient from one clinician or clinic to another by request
Urea,the diamide of carbonic acid
Neurogenesis,generation of cells within the nervous system
Fractionation,chemical separation process
Workflow,"defined sequence of activities of an organizational entity, enabled by the systematic organization of resources into processes that transform materials, provide services, or process information"
Global Positioning System,satellite navigation system
Vasodilation,increase in the internal diameter of blood vessels due to relaxation of smooth muscle cells
Nanocrystalline material,The field of study related to Nanocrystalline material.
Overhead (engineering),The field of study related to Overhead (engineering).
Swelling,abnormal accumulation of fluid in the interstitium
Reproducibility,agreement with previous measurements using the same methodology in the same context
Human rights,inalienable fundamental rights to which a person is inherently entitled
Harmonic,component of a wave whose frequency is a multiple of the fundamental frequency
Legislation,law enacted by a legislature or other governing body
Depolarization,decrease in the absolute value of a cell's membrane potential
Sea surface temperature,water temperature close to the ocean's surface
Colonialism,creation and maintenance of colonies by people from another territory
Significant difference,statistical assessment of whether observations reflect a pattern rather than just chance
Stacking,"attractive, noncovalent interactions between aromatic rings"
Plan (archaeology),The field of study related to Plan (archaeology).
Sarcoma,cell type cancer that has material basis in abnormally proliferating cells derived from embryonic mesoderm
Human health,"state of physical, mental and social well-being in the absence of disease and infirmity"
Scaffold,"term that comes from the Ruby on Rails framework, which is a facility to construct most of the logic and views needed to do common data access operations, such as CRUD"
Grammar,"set of structural rules that governs the composition of clauses, phrases, and words in any given natural language"
Heparin,medication which is used as an anticoagulant (blood thinner)
Network topology,arrangement of the various elements of a computer network; topological structure of a network and may be depicted physically or logically
Refractory (planetary science),"Materials with high condensation temperatures, contrasted with volatiles"
Immunosuppression,decreased resistance to infection; reduction of the activation or efficacy of the immune system
Diamond,allotrope of carbon
Tin,element with the atomic number of 50
Chlorophyll,group of chemical compounds
Grassland,area with vegetation dominated by grasses
Brittleness,breakage from stress without signficant plastic deformation
Occlusion,"in dentistry, contact between teeth"
Sign (mathematics),number property of being positive or negative
Poetry,literary style characterized by a strong expressiveness of words
Maximum likelihood,"method of estimating the parameters of a statistical model, given observations"
Statistical analysis,process of deducing properties of an underlying probability distribution by analysis of data
Motility,"Ability to move spontaneously and actively, using metabolic energy"
Polyethylene,most common thermoplastic polymer
Nausea,medical symptom or condition
Residue (chemistry),"in chemistry, whatever remains or acts as a contaminant after a given class of events"
Principal (computer security),authenticated entity in computer security
Multilevel model,statistical model
Phagocytosis,"An endocytosis process that results in the engulfment of external particulate material by phagocytes. The particles are initially contained within phagocytic vacuoles (phagosomes), which then fuse with primary lysosomes to effect digestion of the par"
Visual analogue scale,scale
Cornea,structure of the eye
TRACE (psycholinguistics),model of speech perception
Latin Americans,citizens or residents of Latin America
Latency (audio),delay in audio systems
Smoothing,dataset modification using an approximating function to capture important patterns in the data while leaving out noise
Valuation (finance),"process of estimating what something is worth, used in the finance industry"
Statement (logic),"meaningful declarative sentence that is either true or false, or that which a true or false declarative sentence asserts"
Quality of service,traffic prioritization and measure of network performance
Supersymmetry,symmetry between bosons and fermions in certain physical systems
Horse,Any block of rock completely separated from the surrounding rock either by mineral veins or fault planes.
Mass transfer,"net movement of mass from one location, usually meaning a stream, phase, fraction or component, to another"
Degree (music),the position of a particular musical note on a scale relative to the tonic
Cretaceous,third and last period of the Mesozoic era
Respiration,"movement of oxygen from the outside air to the cells within tissues, and the transport of carbon dioxide in the opposite direction"
Generative grammar,theory in linguistics
Mainstream,common current thought of the majority
Livestock,"domesticated animals raised in an agricultural setting to produce commodities such as food, fiber and labor"
Vomiting,forcible expulsion of the contents of the stomach through the mouth
Neuron,nervous system cells
Wage,distribution of a security paid by an employer to an employee.
Modalities,key concept in structuration theory
New product development,complete process of bringing a new product to market
Polar,type of cataclysmic variable binary star system
Spore,"unit of asexual reproduction that may be adapted for dispersal and for survival, often for extended periods of time, in unfavorable conditions; spores form part of the life cycles of many plants, algae, fungi and protozoa"
Wearable computer,"Small computing devices (nowadays usually electronic) that are worn under, with, or on top of clothing"
Publishing,"process of production and dissemination of literature, music, or information"
Fauna,set of animal species in any particular region and time
Malnutrition,"medical condition that results from eating too little, too much, or the wrong nutrients"
Conductance,The field of study related to Conductance.
Abdominal surgery,medical specialty
Tendon,type of tissue that connects muscle to bone
Helicobacter pylori,species of bacteria
Cholinergic,neurotransmitter component
Conversation,interactive communication between two or more people
Grading (engineering),"civil engineering term; the work of ensuring a level base, or one with a specified slope, for a construction work"
Numerical analysis,study of algorithms that use numerical approximation for the problems of mathematical analysis
Hearing loss,form of hearing disorder
Anthropometry,human physiometrics
Adiabatic process,thermodynamic process
Nicotine,a mild chemical stimulant naturally found in some plants
Eating disorders,"habit of eating either insufficient or excessive food, to the detriment of health"
Psoriasis,skin disease
Center (category theory),center of a strict monoidal category
Infiltration (HVAC),"unintentional or accidental introduction of outside air into a building, typically through cracks in the building envelope and through use of doors for passage"
Wafer,thin slice of semiconductor material used in the fabrication of integrated circuits
Herbivore,animal anatomically and physiologically adapted to eating plant material
Game theory,branch of mathematics focused on strategic decision making
Metastability,stable state of a dynamical system other than the system's state of least energy
Hymenoptera,order of insects
Catheter,medical device
Derivative (finance),financial instrument whose value is based on one or more underlying assets
Descriptive statistics,field of quantitative research
Hysteresis,dependence of the state of a system on its history
Graphics,visual presentation on some surface
Condensation,change of the physical state of matter from gas phase into liquid phase; reverse of evaporation
Dissection (medical),tear within the wall of a blood vessel
Organism,"any contiguous alive physical entity; entity or being that is living; an individual living thing, such as one animal, plant, fungus, or bacterium"
Circular dichroism,dichroism involving circularly polarized light.
Molar,large tooth at the back of the mouth
Volumetric flow rate,volume of fluid which passes per time
Automation,technology use of various control systems by which a process or procedure is performed with minimal human assistance
Tyrosine,amino acid
Lymphatic system,a part of the defense system (immune system) of vertebrate animals against pathogens
Resuscitation,process of correcting physiological disorders in an acutely unwell patient
Ionosphere,atmospheric layer of Earth
Seedling,young seed plant
Ingestion,consumption of a substance by an organism
Human fertilization,"in homo sapiens, when nuclei of sperm & egg fuse to form a diploid cell, known as a zygote"
Agricultural engineering,applied science
Human brain,main organ of the human nervous system
Digital signal processing,mathematical manipulation of an information signal
Ambiguity,type of uncertainty of meaning in which several interpretations are plausible
Obstructive sleep apnea,obstruction of the upper airway during sleep
Carbide,inorganic compound group
Sulfide,salt or other derivative of hydrogen sulfide or organic compound having the structure RSR (R ≠ H)
Glucocorticoid,class of corticosteroids
Anaerobic exercise,physical exercise intense enough to cause lactate formation
Professional development,"improvement in professional knowledge and skills via training, practice and feedback"
Concomitant,statistical term; concept arises when one sorts the members of a random sample according to corresponding values of another random sample
Myosin,Superfamily of motor proteins
Urban planning,technical and political process concerned with the use of land and design of the urban environment
CLARITY,method of making brain tissue transparent
Contraction (grammar),grammar
Thalamus,part of the brain responsible for sleep regulation and relaying sensory signals
Regularization (linguistics),"in linguistics, replacement of irregular forms by regular ones"
Linear programming,programming method to achieve the best outcome in a mathematical model
Arousal,physiological and psychological state of being awoken
Survival analysis,"branch of statistics for analyzing the expected duration of time until one or more significant events happen, such as death in biological organisms and failure in mechanical systems"
Discontinuation,ceasing of a medication treatment for a patient
Deuterium,isotope of hydrogen with 1 neutron
Confusion,state of being bewildered or unclear in one’s mind about something
Reef,feature lying beneath the surface of the water
Ultrasonic sensor,acoustic sensor
Hydroxide,family of the hydroxide salts
Light-emitting diode,semiconductor light source that emits light when current flows through it
Biogeochemical cycle,pathway by which a chemical element or molecule moves through both biotic and abiotic compartments of Earth
Shear stress,component of stress coplanar with a material cross section
Dry matter,The field of study related to Dry matter.
Pipeline (software),chain of processing software elements
Polyurethane,polymer composed of a chain of organic units joined by carbamate (urethane) links
Fraction (chemistry),"in chemistry, the result of a fractionating separation process"
Volume fraction,dimensionless quantity
Metamorphic rock,"rock arising from metamorphism, in which an original rock (either sedimentary, igneous, or another metamorphic rock) is subjected to heat (>600 °C) and pressure (>200 MPA) causing profound physical or chemical change"
Tensor (intrinsic definition),mathematical approach to the notion of tensor as an element of a tensor product
Standard deviation,dispersion of the values ​​of a random variable around its expected value
Cracking,thermal or catalytic decomposition of a compound such as a hydrocarbon into chemical species of smaller molecular weight
Selenium,chemical element with symbol Se and atomic number 34
Bridge (graph theory),An edge in a node-link graph whose removal would disconnect the graph
Metabolomics,scientific study of chemical processes involving metabolites
Organizational behavior,study of human behavior in organizational settings
Fluoride,chemical compound that contains fluoride ion
Elastic modulus,physical property that measures the stiffness of an elastic material
Database transaction,The field of study related to Database transaction.
Statistic,single measure of some attribute of a sample
Angular momentum,measure of the extent to which an object will continue to rotate in the absence of an applied torque
Duration (music),aspect of music
Attention deficit hyperactivity disorder,neurodevelopmental disorder
Conjugate,for square roots
Candida albicans,species of fungus
Silicate,"class of chemical compounds, salts and esters of silicic acids"
Fermion,quantum system whose wave function changes when exchanging identical instances
Plateau (mathematics),The field of study related to Plateau (mathematics).
Heritability,statistic used in breeding and genetics
Realization (probability),statistical data type
Random variable,variable representing a random phenomenon
Rheumatology,"medical specialty dealing with autoimmune diseases, especially those of joints and connective tissues"
Ambulatory,Covered passage in a large church
Market liquidity,ability of an asset to be bought or sold on the market without causing a drastic change in the asset's price
Supernova,star exploding at the end of its stellar lifespan
Dispersity,The field of study related to Dispersity.
Colonization,establishment and development of settlements by people or animals
Rural area,geographic area that is located outside towns and cities
Pyridine,heterocyclic aromatic organic compound
Hadron,quantum particle: bound system of quark(s) and/or antiquark(s)
Penetration (warfare),"breaching of, and moving past, a defensive military line"
Necrosis,premature cell death
Electrophoresis,using an electrical potential to move material through a defined matrix in order to separate it by its resistance to movement and its charge
Workforce,members of a particular organization or population who are able or eligible to work; labour pool in employment; it may also mean all those who are available for work
Air quality index,measure of pollution
Pancreatitis,human disease involving the inflammation of the pancreas
Gauge (firearms),bore diameter of firearms
Burnout,practice of spinning wheels while keeping vehicle stationary
Commerce,"the exchange of goods and services, especially on a large scale"
Salient,battlefield feature which projects into enemy territory
Mobile device,"small, hand-held computing device"
Snail,mollusc
Accretion (finance),change in the price of a bond bought at a discount to the par value of the bond - opposite of amortization
Primary care,day-to-day health care given by a health care provider
Observable,"In physics, a dynamic variable that can be measured"
Meal,eating that takes place at a specific time
Demographics,science that deals with populations and their structures statistically and theoretically
Bone remodeling,continuous turnover of bone matrix and mineral
Reputation,social opinion about entity
Zircon,mineral belonging to the group of nesosilicates
Natural history,study of organisms including plants or animals in their environment
Disturbance (geology),linear zone of disturbed rock strata which comprises a combination of folding and faulting
Morphine,chemical compound
Equivalence (formal languages),when formal languages generate the same set of strings
Taste,sense that detects types of chemicals that touch the tongue
Exploratory research,type of research conducted for a problem that has not been clearly defined
Durability,property of a database system guaranteeing that transactions that have committed will survive permanently in the event of crashes
Cerebral blood flow,brain blood flow
Water resources,sources of water that are useful or potentially useful
Universe,"totality consisting of space, time, matter and energy"
Migraine,disorder resulting in recurrent moderate-severe headaches
Palliative care,area of healthcare that focuses on relieving and preventing the suffering of patients
Single crystal,"material in which the crystal lattice of the entire sample is continuous and unbroken to the edges of the sample, with no grain boundaries"
Toluene,chemical compound
Minification,process of removing all unnecessary characters from source code without changing its functionality
Implementation,"realization of an application, or execution of a plan, idea, model, design, specification, standard, algorithm, or policy"
Perpendicular,Property of being perpendicular (perpendicularity) is the relationship between two lines which meet at a right angle (90 degrees). The property extends to other related geometric objects
Neuroplasticity,ability of the brain to continuously change over the course of one's lifetime
Discriminative model,The field of study related to Discriminative model.
Apnea,suspension of breathing
Drop (telecommunication),part of a communications network device directly connected to the internal station facilities
Markov process,stochastic model describing a sequence of possible events in which the probability of each event depends only on the state attained in the previous event
Supercritical fluid,state of matter
Normalization (sociology),social process by which certain behavior becomes common or even the norm
Ontology,"study of the nature of being, becoming, existence or reality, as well as the basic categories of being and their relations"
Hazard,"situation that poses a potential threat to life, health, property, or environment"
Experiential learning,"process of learning through experience, which is distinct from rote or didactic learning"
Hepatitis,inflammation of the liver tissue
Surgical oncology,medical specialty concerned with treatment of cancer through surgery
Syntax,linguistic field that studies the inner structure of sentences
Pleistocene,first epoch of the Quaternary Period
Autoregressive model,representation of a type of random process
Diversification (marketing strategy),marketing strategy
Metamaterial,materials engineered to have properties that have not yet been found in nature
Workload,"amount of work to be performed per unit time, by an individual or group"
Macromolecule,"molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass"
Typology,classification of archaeological artifacts according to their physical characteristics
Nano-,prefix denoting 10 to the −9th power
PEG ratio,The field of study related to PEG ratio.
Esophagus,organ in vertebrates
Curse of dimensionality,various phenomena that arise when analyzing and organizing data in high-dimensional spaces that do not occur in low-dimensional settings such as the three-dimensional physical space of everyday experience
Standardization,implementation of technical standards based on the consensus of different parties
Thermoelectric effect,direct conversion of temperature differences to electric voltage and vice versa
Hepatitis C,human viral infection
Anastomosis,reconnection of two streams that previously branched out
Science education,field concerned with sharing science content and process
Table (database),set of data elements in databases
Empathy,capacity to understand or feel what another person is experiencing from within the latter's frame of reference
Litter,"waste products that have been disposed improperly, without consent, at an inappropriate location"
Divergence (linguistics),principle by which grammaticalization can be detected
Folding (DSP implementation),DSP architecture implementation technique
Fly ash,residue of coal combustion
Tumor cells,abnormal mass of tissue as a result of abnormal growth or division of cells
Microporous material,Material with pores less than 2 nm wide
Humidity,amount of water vapor in the air
Dosing,Measuring an appropriate amount of chemical for a given purpose
Argon,chemical element with symbol Ar and atomic number 18
Curing (chemistry),process of hardening a material into cross-linked polymer chains
Nucleon,particle that makes up the atomic nucleus (proton or neutron)
Metaphysics,branch of philosophy dealing with the nature of reality
Ether,class of organic compounds containing oxygen connected to two organyl groups
Exchange rate,rate at which one currency will be exchanged for another
Causality (physics),conceptual link between natural phenomena that temporally follow one another because one is the cause of the other
Baseline (sea),"the line from which the seaward limits of a state's territorial sea and certain other maritime zones of jurisdiction are measured; normally, a sea baseline follows the low-water line of a coastal state"
Differential diagnosis,distinguishing of a particular disease or condition from others that present similar clinical features
Thermal decomposition,chemical decomposition caused by heat
Multinational corporation,corporation operating in multiple countries
String (physics),hypothetical physical entity
Watershed,Transformation defined on a grayscale image
Invertebrate,group of animals
Acetic acid,chemical compound
Operationalization,"process of defining the measurement of a phenomenon that is not directly measurable, though its existence is indicated by other phenomena"
Framing (construction),"in construction, is the fitting together of pieces to give a structure support and shape"
Happiness,mental or emotional state of well-being characterized by pleasant emotions
Drag,retarding force on a body moving in a fluid
Logarithm,"inverse of the exponential function, which maps products to sums"
Efflux,A protein complex that is capable of efflux transmembrane transporter activity.
Coral,color
Activities of daily living,healthcare term for people's daily self care activities
Pharmacy,"science that studies the chemical, pharmacological and pharmaceutical properties of drugs"
Family history,medical family history
CATS,EDA software for mask data preparation (MDP) in integrated circuit design and manufacturing
Dissolved organic carbon,molecule classification
Noise reduction,process of removing noise from a signal
Ecological succession,process of change in the species structure of an ecological community over time
Head (geology),term in geology that describes deposits
Biological pest control,method of controlling pests using other living organisms
Muscle hypertrophy,enlargement or overgrowth of a muscle organ
STREAMS,The field of study related to STREAMS.
Plankton,Organisms that are in the water column and are incapable of swimming against current
Collision,Wikimedia disambiguation page
Educational technology,use of technology in education to improve learning and teaching; not restricted to high technology
Zero (linguistics),part of linguistic morphology
Tungsten,chemical element with symbol W and atomic number 74
Nanometre,unit of length
Primer (cosmetics),cosmetic
Endothelial dysfunction,systemic pathological state of the endothelium
Linear system,mathematical model of a system based on the use of a linear operator
Glacier,large persistent body of ice
Financial crisis,situation in which financial assets suddenly lose a large part of their nominal value
Stable isotope ratio,ratio of two stable isotopes
Carbohydrate metabolism,chemical reactions and pathways involving carbohydrates
Fusion,sound change where phonological segments with distinctive features blend into a single segment
Biomolecule,molecule that is produced by a living organism
Optimal control,mathematical optimization method for deriving control policies
Bone resorption,"The process in which specialized cells known as osteoclasts degrade the organic and inorganic portions of bone, and endocytose and transport the degradation products."
Cardiac surgery,surgery on the heart or great vessels
Adduct,"product of a direct addition of two or more distinct molecules, resulting in a single reaction product containing all atoms of all components"
Rotor (electric),non-stationary part of a rotary electric motor
Concordance,the presence of the same trait in both members of a pair of twins
Digestion (alchemy),The field of study related to Digestion (alchemy).
Primary (astronomy),"main physical body of a gravitationally bound, multi-object system"
Periodontitis,gum disease
Covariate,"concept in mathematical modeling, statistical modeling and experimental sciences"
Carbohydrate,"organic compound that consists only of carbon, hydrogen, and oxygen"
Uterus,major female hormone-responsive reproductive sex organ of most mammals including humans
Environmentally friendly,"goods, services, laws, and rules that either do not harm the environment or do very little harm to it"
Asymmetry,"state; the absence of, or a violation of, symmetry"
Fuel cells,device that converts the chemical energy from a fuel into electricity
Work in process,item still being made or completed as opposed to a finished or merely planned item
Cylinder,surface formed by the points at a fixed distance from a given straight line called the axis of the cylinder; one of the most basic curvilinear geometric shapes
Attribution,process by which individuals explain the causes of behavior and events
Mineral,naturally occurring usually inorganic substance that has a (more or less) definite chemical composition and a crystal structure
Fungus,kingdom of organisms
Subtropics,geographic and climate zone
Current density,electric current per area of cross section
Foreign direct investment,foreign ownership of a controlling stake of a business
Wave propagation,any of the ways in which waves travel
Range of motion,distance and direction to which a bone joint can be extended
Cystic fibrosis,autosomal recessive disease characterized by the buildup of mucus
Purchasing,acquisition of goods or services by fiduciary exchange
General partnership,association of persons or unincorporated company for trade purposes
Cover (algebra),mathematical structure mapped onto another instance
Observer (physics),fact that simply observing a situation or phenomenon necessarily changes that phenomenon
Anomaly (physics),the failure of a symmetry of a theory's classical action to be a symmetry of any regularization of the full quantum theory
Sodium dodecyl sulfate,chemical compound
Nervous system,the entire nerve apparatus of the body
Uniqueness,"philosophical category, opposite of multiplicity; state or condition wherein something is unlike anything else in comparison"
Northern Hemisphere,half of Earth that is north of the equator
Gastrointestinal tract,organ system within humans and other animals pertaining the stomach and intestines
Sowing,process of planting seeds
Strain rate,The field of study related to Strain rate.
Growing season,part of the year during which local weather conditions permit normal plant growth
Proxy (statistics),"variable used in statistics and experimental design: not in itself directly relevant, but that serves in place of an unobservable or immeasurable variable"
Racism,belief that groups of humans possess different behavioral traits corresponding to physical appearance and can be divided based on the superiority of one race over another
Vascular disease,cardiovascular system disease that primarily affects the blood vessels
Openness to experience,personality trait
Citizen journalism,journalism genre
Electromagnetic coil,electrical component
Categorical variable,variable where there is no ordering among the values
Fluid dynamics,subdiscipline of fluid mechanics that deals with fluid flow—the natural science of fluids (liquids and gases) in motion
Photocurrent,A electric current through a photosensitive device
Inlet,"in coastal geography, an indentation of a shoreline that often leads to an enclosed body of salt water, such as a sound, bay, lagoon, or marsh"
GTPase,class of enzymes
Paramagnetism,magnetic ordering
Terrain,vertical and horizontal dimension of land surface
Empowerment,providing increased autonomy
Grazing,"method of feeding in which a herbivore eats parts of low-growing grasses, forbs or algae"
Proteasome,"large multisubunit complex which catalyzes protein degradation, found in eukaryotes, archaea and some bacteria"
Encoding (memory),memory process
Modal,cellulose-based synthetic fiber
Ageing,biologically degenerative process that is a deterioration and loss of function over time and leads to death
Persistence (discontinuity),The field of study related to Persistence (discontinuity).
Field-programmable gate array,integrated circuit designed to be configured by a customer or a designer after manufacturing
Intercalation (chemistry),reversible insertion of an ion into a material with layered structure
Gold standard (test),diagnostic test or benchmark that is the best available under reasonable conditions
Surface water,"water on the continents surface, rather than underground"
Evapotranspiration,biophysicogeochemical process
Absorbance,common logarithm of the ratio of incident to transmitted radiant power through a material; the optical depth divided by ln(10)
Docking (animal),the practice of removing a portion of an animal's ears or tail
Enantiomer,Stereoisomers which are non-superimposable mirror images of each other
Automotive industry,"range of organizations associated with motor vehicles, such as automobiles, trucks and motorcycles"
Recreation,human activity of leisure (discretionary time)
Wine,dark shade of red
Gravitational wave,propagating spacetime ripple
Analysis of variance,collection of statistical models used to analyze the differences between group means and their associated procedures
Percentile,measure used in statistics
Follicular phase,"phase of the estrous cycle, (or, in humans and great apes, the menstrual cycle) during which follicles in the ovary mature (it ends with ovulation, the main hormone controlling this stage is estradiol)"
Solid-state,"circuits or devices built entirely from solid materials and in which the electrons, or other charge carriers, are confined entirely within the solid material"
Bromide,class of bromide containing chemical compounds
Glycosylation,covalent attachment and further modification of carbohydrate residues to a substrate molecule
Computer engineering,Engineering discipline specializing in the design of computer hardware
Credibility,"believability of a source or message, comprising objective and subjective components"
Histamine,chemical compound
Situational ethics,The field of study related to Situational ethics.
Intersection (aeronautics),virtual navigational fix that helps aircraft maintain their flight plan
Pulmonary hypertension,Medical condition
Natural resource,production resources
Fullerene,class of allotropes of carbon
Subarachnoid hemorrhage,bleeding into the subarachnoid space
Enforcement,"process of ensuring compliance with laws, regulations, rules, standards, or social norms"
Shock wave,propagating disturbance
Saliva,bodily fluid secreted by saliva glands
Mathematical proof,rigorous demonstration that a mathematical statement follows from its premises
Tube (container),"hollow, usually cylindrical objects, long in proportion to their diameter, sometimes flexible; in varied forms these may be used for conveying or containing fluids or vapor, or for containing other materials such as paper or textiles"
Photodynamic therapy,The field of study related to Photodynamic therapy.
Broadband,wide bandwidth data transmission with an ability to simultaneously transport signal and traffic types
Spectrometer,used to measure spectral components of light
Connective tissue,type of biological tissue
Risk management,"set of measures for the systematic identification, analysis, assessment, monitoring and control of risks"
Cascade,term in chemical engineering
Sky,everything that is above the surface of the Earth
Outlier,observation far apart from others in statistics and data science
Pairwise comparison,process of comparing two entities to determine which is preferred
Commission,renumeration
MATLAB,numerical computing environment
Session (web analytics),web analytics term — unit of measurement of a user's actions taken within a period of time or with regard to completion of a task
Otorhinolaryngology,"surgical subspeciality concerned with ear, nose, and throat conditions"
Basal cell,Wikimedia disambiguation page
Bioaccumulation,"gradual accumulation of substances, such as pesticides, in an organism"
SPHERES,free-flying robotic system
Elastomer,"any elastically deformable, rubbery plastic material"
Filtration (mathematics),indexed set of subobjects
Decision tree,"decision support tool that uses a tree-like model of decisions and their possible consequences, including chance event outcomes, resource costs, and utility"
Atomic force microscopy,very high-resolution type of scanning probe microscope
Perturbation theory (quantum mechanics),quantum mechanics
Hepatitis B,human viral infection
Sedation,reduction of agitation by administering drugs
Spacecraft,manned vehicle or unmanned machine designed to fly in outer space
Fracture toughness,The field of study related to Fracture toughness.
Hyperspectral imaging,"method to create a complete picture of the environment or various objects, each pixel containing a full visible, visible near infrared, near infrared, or infrared spectrum."
Vacancy defect,"type of point defect in a crystal, in which an atom is missing from one of the lattice sites"
Niche,The field of study related to Niche.
Somatosensory system,complex system of sensory neurons and pathways that responds to changes at the surface or inside the body
Autopsy,surgical procedure that consists of a thorough examination of a corpse
Lead (geology),subsurface structural or stratigraphic feature with the potential to have entrapped oil or natural gas
Microplastics,small plastic particles in the environment that are generally smaller than 1 mm
Subclinical infection,an infection that is nearly or completely asymptomatic that may enable a pathogen to escape clinical attention or inclusion in health statistics
Neurosurgery,medical specialty of disorders which affect any portion of the nervous system
Charge carrier,"particle free to move, carrying an electric charge, especially the particles that carry electric charges in electrical conductors"
Mythology,type of traditional narrative
Margin (machine learning),distance between a decision boundary and a data point
Imaging phantom,object used as a substitute for live or cadaver subjects
Molybdenum,"chemical element with atomic number 42, symbol Mo and molecular weight 95.95"
Synapse,"junction between a nerve fiber of one neuron and another neuron, muscle fiber or glial cell"
Spinel,oxide mineral
Waveguide,"structure that guides waves, typically electromagnetic waves"
Reflectivity,capacity of an object to reflect light
Inhalation,flow of the respiratory current into an organism
Linear discriminant analysis,"method used in statistics, pattern recognition and machine learning"
Tropics,region of the Earth surrounding the Equator
Rectum,final section of intestines
Institution,structure or mechanism of social order and cooperation governing the behaviour of a set of individuals within a given community
Sound (geography),"long, relatively wide body of water, connecting two larger parts of the sea"
Hepatology,medical specialty
Theme (computing),"in computing, preset package containing graphical appearance details"
Coral reef,ridge of rock in the sea formed by the growth and deposit of coral
Smoking cessation,process of discontinuing tobacco smoking
Porphyrin,group of compounds containing four pyrrole rings connected by methine bridges in a cyclic configuration
Preprocessor,type of computer program which processes the input for another program
Helium,chemical element with symbol He and atomic number 2
Biomechanics,study of the structure and function of the mechanical aspects of biological systems
Survival rate,percentage of people in a study or treatment group still alive for a given period of time after diagnosis
Complex network,network with non-trivial topological features
Glycerol,chemical compound
Amide,any derivative of an oxoacid in which an acidic hydroxy group has been replaced by an amino or substituted amino group
Menopause,when menstrual periods stop permanently
Colitis,inflammation of the colon or the large intestine
Prostaglandin,group of physiologically active lipid compounds
Server,computer program or device that provides access to a central resource or other functionality for clients
Chain (unit),unit of length
Prosthesis,artificial device that replaces a missing body part
Femur,femur bone
Longevity,"longer than typical lifespan, especially of humans"
Rationality,quality or state of being agreeable to reason
Calcite,carbonate mineral
Interest rate,percentage of a sum of money charged for its use
Water column,conceptual column of water from the surface to the bottom of a body of water
Social group,two or more humans who interact with one another
Spins,state of dizziness and disorientation due to intoxication
Isometric exercise,Static contraction exercise
Hyperplasia,increase in the amount of organic tissue that results from cell proliferation
Organizational culture,encompasses values and behaviours that contribute to the unique social and psychological environment of an organization
Criticism,practice of judging the merits and faults of something or someone
Melatonin,hormone primarily released by the pineal gland
Renal cell carcinoma,renal carcinoma that has material basis in the lining of the proximal convoluted renal tubule of the kidney
Replication (statistics),principle that variation can be better estimated with nonvarying repetition of conditions
Base station,The field of study related to Base station.
Vanadium,chemical element with symbol V and atomic number 23
Element (criminal law),"fact that must be proven, under USA criminal law"
Redundancy (engineering),"use of a number of critical components for securing one or more functions of a system with the intention of increasing its reliability, usually in the form of a backup or fail-safe design"
Thermal diffusivity,measures the rate of transfer of heat of a material from the hot side to the cold side
Dynamical systems theory,"area of mathematics used to describe the behavior of complex dynamical systems, usually by employing differential equations or difference equations"
Public transport,shared transportation service for use by the general public
Steady state (chemistry),The field of study related to Steady state (chemistry).
Construction engineering,"professional discipline dealing with the designing, planning, construction and management of infrastructures"
Neuropathic pain,type of pain
Polypropylene,polymer
Landslide,"type of natural disasters involving ground movements, often caused by slope instability triggered by specific event"
Active listening,Active listening entails both listening to what is said and replying with an accurate summary
Neglect,"passive form of abuse where the perpetrator, who is responsible for caring for someone who is unable to care for themselves, fails to do so"
Organizational learning,"process of creating, retaining, and transferring knowledge within an organization"
Quantization (signal processing),process of mapping a continuous set to a countable set
Monsoon,seasonal changes in atmospheric circulation and precipitation associated with the asymmetric heating of land and sea
Electrocardiography,method to record the electrical activity of the heart through passive electrodes placed over the skin.
Iterative method,numerical method in which the n-th approximation of the solution is obtained on the basis on the (n-1) previous approximations
Residence,Wikimedia disambiguation page
Asynchronous communication,The field of study related to Asynchronous communication.
Self-assembly,Process of a disordered system forming organized structures without external direction.
Extrusion,process used to create objects of a fixed cross-sectional profile
Petroleum,naturally occurring flammable liquid
Tribology,"deals with the scientific description of friction, wear and lubrication"
Photonic crystal,periodic optical nanostructure that affects the motion of photons in much the same way that ionic lattices affect electrons in solids
Integer programming,pure or mixed integer programing
Python (programming language),general-purpose programming language
Dengue fever,"tropical disease caused by the dengue virus, transmitted by mosquito"
Physical examination,process by which a medical professional investigates the body of a patient for signs of disease
