topic_name,topic_description
Contact angle,"the angle, conventionally measured through the liquid, where a liquid–vapor interface meets a solid surface"
Principal component analysis,conversion of a set of observations of possibly correlated variables into a set of values of linearly uncorrelated variables called principal components
Semantics (computer science),the field concerned with the rigorous mathematical study of the meaning of programming languages
Pathophysiology,convergence of pathology with physiology
Manganese,chemical element with symbol Mn and atomic number 25
Adhesive,material which is used for bonding of various materials
Property (philosophy),"predominant feature that characterizes a being, a thing, a phenomenon, etc. and which differentiates one being from another, one thing from another"
Refractive index,ratio of the speed of light in vacuum to that in the medium
Polyunsaturated fatty acid,fatty acids that contain more than one double bond in their backbone
Scalar (mathematics),"single field element, e.g. real number, in the context of linear algebra"
Ultrastructure,the nanostructure of a biological specimen that can be viewed with ultramicroscopy or electron microscopy
Internal consistency,The field of study related to Internal consistency.
Helminths,intestinal parasitic worms
Promotion (chess),"in chess, the mandatory immediate replacement of a pawn reaching its 8th rank by the player's choice of a queen, knight, rook, or bishop of the same color"
Dielectric spectroscopy,measuring dielectric properties of medium
Slip (aerodynamics),aerobatic maneuver
Nanoscopic scale,"refers to structures with a length scale applicable to nanotechnology, usually cited as 1–100 nanometers"
Mobile robot,automatic machine that is capable of movement in any given environment
Cationic polymerization,chain growth polymerization in which a cationic initiator transfers charge to a monomer which then becomes reactive
Quenching (fluorescence),Quenching refers to any process which decreases the fluorescence intensity of a given substance.
Medical prescription,"instructions governing the plan of care for an individual patient, often written authorization to obtain a drug from a pharmacist"
Aggression,"overt, often harmful, social interaction with the intention of inflicting damage or unpleasantness"
Crust,"outermost solid shell of a rocky planet, dwarf planet or natural satellite, which is chemically distinct from the underlying mantle"
Natural rubber,polymer harvested from certain trees
Androgen,type of sex steroid
Psychopathology,scientific study of mental disorders
Psychological resilience,"ability to cope with a life crisis, adapt in the face of stressors, or to adjust and return to pre-crisis status"
Activator (genetics),protein that increases transcription of a gene or set of genes
Audit,"systematic and independent examination of books, accounts, documents and vouchers of an organization"
NMDA receptor,glutamate receptor and ion channel protein found in nerve cells
Social support,"support systems that provide assistance and encouragement to individuals, as part of a supportive social network"
Somatic cell,any biological cell
Dissipation,result of an irreversible process that takes place in inhomogeneous thermodynamic systems
Throughput,maximum rate of production or the maximum rate at which something can be processed
Odds,ratio of the probability that an event will happen to the probability that it will not happen
Amyloid (mycology),chemical reaction used in characterization of fungi
Stressor,"chemical or biological agent, environmental condition, external stimulus or an event seen as causing stress to an organism"
Symbiosis,type of close and long-term biological interaction between two different biological organisms
DNA replication,cellular metabolic process in which a cell duplicates one or more molecules of DNA
Discretization,process of transferring continuous functions into discrete counterparts
Matrix metalloproteinase,family of zinc-dependent metalloendopeptidases that is involved in the degradation of the extracellular matrix
Biodegradation,decomposition by living organisms
Focus group,small group of people whose reactions are studied in market research or political analysis
Inverse,type of conditional sentence which is an immediate inference made from another conditional sentence
Competitive advantage,sports and business concept that an individual or organization outperforms competition in some regard
Bay,"space defined by the vertical piers, in a building"
Upper and lower bounds,every element of a partially ordered set A which is greater (resp. lower) than every element of a subset B included in A
Transmembrane protein,protein spanning across a biological membrane
Impurity,substance within a material differing from its overall composition
Star formation,process of forming stars
Fossil fuel,fuel formed by natural processes such as anaerobic decomposition of buried dead organisms
Estuary,type of marine and riverine ecosystem
Thermal conduction,transfer of internal energy within a body due to particle collisions & elecron movements
Enhancer,DNA sequence capable of binding activators
Ranking (information retrieval),sorting method in information retrieval
Sentence,"textual unit consisting of one or more words that are grammatically linked, expressing a complete thought in non-functional linguistics"
Piezoelectricity,electricity found in certain solids.
Electricity generation,process of generating electrical power
Carcinogen,"any substance, radionuclide, or radiation that promotes carcinogenesis, the formation of cancer"
Young adult,person in the age range of 20 to 40
Airway,trade route
Membrane protein,"proteins that are part of, or interact with, biological membranes"
Expression (computer science),"combination of functions, variables, etc. in a computer program that returns a value"
Micelle,aggregates of molecules held loosely together by secondary bonds
Urbanization,"longterm population movements (shift) from rural to urban areas;gradual increase in the proportion of people living in urban areas, and the ways in which each society adapts to the change;process by which towns and cities are formed and become larger"
Autoantibody,antibody produced by the immune system that is directed against one or more of the individual's own proteins - many autoimmune diseases (notably lupus erythematosus) are caused by such autoantibodies
Software development,creation and maintaining of programs and applications
Engineering drawing,type of technical drawing used to define requirements for engineered items
Heat exchanger,piece of equipment built for efficient heat transfer from one medium to another
Religious studies,"multi-disciplinary academic field devoted to research into religious beliefs, behaviors, and institutions"
Trajectory,path of a moving object
Modular design,The field of study related to Modular design.
Vector (molecular biology),DNA molecule used as a vehicle to artificially carry foreign genetic material into another cell
Aggregate (composite),inert material with sufficient compressive strength and appropriate size distribution added as load to a composite
Aerodynamics,branch of dynamics concerned with studying the motion of air
Kernel (algebra),algebraic concept
Efficient energy use,"minimizing the amount of energy used for a given, constant energy service"
Cytochrome P450,superfamily of enzymes containing heme as a cofactor that function as monooxygenases
Moiety,segment of a molecule
Scholarship,award of financial aid for a student to further their education
Dual (grammatical number),grammatical number found in some languages representing two of an entity
Movement (music),self-contained part of a musical composition or musical form
Foraging,searching for wild food resources
Base (topology),collection of open sets that is sufficient for defining a topology
Surface finish,"small, local deviations of a surface from a perfectly flat ideal"
Calcination,manufacturing
PEST analysis,framework of macro-environmental factors used in the environmental scanning component of strategic management
Abiotic component,non-living chemical and physical parts of the environment that affect living organisms and the functioning of ecosystems
Electrical impedance,quotient of the voltage phasor and the electric current phasor
Planet,celestial body directly orbiting a star or stellar remnant
Glutathione peroxidase,enzyme family protecting the organism from oxidative damages
Nanofiber,natural or synthetic fibers with diameters in the nanometer range
Hierarchy,system of elements with multiple levels or tiers that are subordinated to each other
Rank (graph theory),as in graph theory
Ecosystem services,"benefits created by nature, forests and environmental systems"
Aorta,largest artery in the body
Training (meteorology),repeated area of rain that moves over the same region in a relatively short period of time
Differential (mechanical device),type of simple planetary gear train
Coherence (philosophical gambling strategy),"thought experiment, to justify Bayesian probability"
Atrophy,partial or complete wasting away of a part of the body
Capillary action,ability of a liquid to flow in narrow spaces
Boron,chemical element with symbol B and atomic number 5
Organelle,organized cell-level biological structure of distinctive morphology and function
Empirical evidence,knowledge based on sense experience or experimentation
Glioma,a type of tumor that starts in the brain or spine
Ventilation (architecture),intentional introduction of outside air into a space
Big data,"Information assets characterized by such a high volume, velocity, and variety to require specific technology and analytical methods for its transformation into value"
Conjugated system,System of connected p orbitals with delocalized electrons increasing molecular stability.
Arthroplasty,surgery to repair or replace joints
Research methodology,scientific method of accumulating data
Complementation,occurs when two strains of an organism with different homozygous recessive mutations that produce the same mutant phenotype produce offspring with the wild-type phenotype when mated or crossed
Covariance,measure of the joint variability of two random variables
Percutaneous,The field of study related to Percutaneous.
Transforming growth factor,biomarker indicative of breast cancer patients' prognosis
Polynomial,mathematical expression consisting of variables and coefficients
Proteases,The field of study related to Proteases.
Genome-wide association study,examination of many genetic variants in different individuals to see if any variant is associated with a trait
Ethnography,qualitative research design aimed at exploring cultural phenomena
Excretion,process of elimination by an organism of the waste products that arise as a result of metabolic activities
Categorization,"cognitive process in which ideas and objects are recognized, differentiated, and understood"
Checklist,type of informational job aid
Metropolitan area,a government-defined region consisting of a densely populated urban core and its less-populated but economically-linked surroundings
Flavonoid,"'superclass' of chemical compounds containing two or more aromatic rings, each bearing at least one aromatic hydroxyl and connected with a carbon bridge"
Data collection,process of gathering and measuring information
Dimer,"oligomer consisting of two structurally similar monomers joined by bonds that can be either strong or weak, covalent or intermolecular"
Oligonucleotide,class of short biopolymers
Chromosomal translocation,phenomenon that results in unusual rearrangement of chromosomes
Cell wall,"rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal, most prokaryotic cells and some protozoan parasites, maintaining their shape and protecting them from osmotic lysis"
Jet (fluid),stream of fluid projected into the surrounding medium
Moment (physics),product of a distance and a physical quantity
Comprehension,"totality of intensions, that is, properties or qualities, that an object possesses"
Particle swarm optimization,"optimization method that tries a set of candidate solutions (“particles“) moving around in the search-space, guided toward the best known positions as better positions are found by other particles"
Fragmentation (computing),inefficient use of storage space
Phase diagram,chart used to show conditions at which physical phases of a substance occur
Academic achievement,"extent to which a student, teacher or institution has attained their short or long-term educational goals"
Heat shock protein,proteins synthesized in response to hyperthermia and other environmental stresses
Norm (philosophy),"in philosophy, concept of practical import, oriented to effecting an action"
Ruthenium,chemical element with the atomic number of 44 and symbol Ru
Leaching (pedology),loss of minerals or organic solutes in soil
Electrical conductor,material that allows the flow of electrical current
Gene expression profiling,RNA profiling
Lens (geology),type of rock body
Conceptualization,abstract simplified view of some selected part of the world
Ethylene glycol,organic compound used in the making of polyester fibers and in antifreeze formulations
Antibacterial activity,The field of study related to Antibacterial activity.
Solar wind,stream of charged particles released from the Sun
Genetic enhancement,therapeutic approach that involves inserting nucleic acids into the patient's cells
Water splitting,chemical reaction in which water is broken down into oxygen and hydrogen
PsycINFO,American psychologic bibliographic database
Stoichiometry,calculation of relative quantities of reactants and products in chemical reactions
Perturbation (astronomy),the classical approach to the many-body problem of astronomy
Quantum chromodynamics,"theory of strong interactions, a fundamental force describing the interactions between quarks and gluons, which make up hadrons such as the proton, neutron and pion"
Exciton,quasiparticle which is a bound state of an electron and an electron hole
Magnet,material or object that produces a magnetic field
Performance art,artwork created through actions of an artist or other participants
Revenue,income that a business has from its normal business activities
Torque,tendency of a force to rotate an object
Isothermal process,thermodynamic process in which the temperature remains constant
Evaporation,type of vaporization of a liquid that occurs from its surface; surface phenomenon
van der Waals force,"residual attractive or repulsive forces between molecules or atomic groups that do not arise from a covalent bond, or ionic bonds"
Trophic level,position of an organism in a food chain
Wave function,"mathematical description of the quantum state of a system; complex-valued probability amplitude, and the probabilities for the possible results of measurements made on the system can be derived from it"
Human leukocyte antigen,a gene complex responsible for the regulation of the immune system in humans
Acceptor,"dopant atom that, when added to a semiconductor, can form a p-type region"
Fracture mechanics,field of mechanics concerned with the study of the propagation of cracks in materials
Diesel fuel,liquid fuel used in diesel engines
Resilience (materials science),ability of a material to absorb energy when it is deformed elastically
Bending,stress made by bending moment
Elasticity (physics),physical property when materials or objects return to original shape after deformation
Flood myth,"narrative in which a great flood destroys a civilization, commonly as divine retribution"
Computational fluid dynamics,branch of fluid mechanics that uses numerical analysis and data structures to solve and analyze problems that involve fluid flows
Mating,pairwise union of individuals for sexual reproduction -  ultimately resulting in the formation of zygotes
Conceptual framework,method of organizing information
Viscoelasticity,property of that materials that exhibit both viscous and elastic characteristics when undergoing deformation
Sea ice,ice formed from frozen seawater
Transformer,electrical device that transfers energy through electromagnetic induction from one circuit to another circuit
Gel electrophoresis,method for separation and analysis of macromolecules
Tolerability,degree to which overt adverse effects of a drug can be tolerated by a patient
Internet of Things,Internet-like structure connecting everyday physical objects
Content (measure theory),extended-real-valued function defined on a field of sets that is finitely additive
Glass transition,reversible transition in amorphous materials
Autoimmunity,immune responses of an organism against its own healthy cells and tissues due to failure of an organism in recognizing its own constituent parts as self
Raman scattering,theory by India's Nobel laureate and Bharat Ratna awardee C.V. Raman
Mediation,dispute resolution with assistance of an impartial third party moderator through the use of communication and negotiation techniques
Turbine,rotary mechanical device that extracts energy from a fluid flow
Ulcerative colitis,inflammatory bowel disease that causes ulcers in the colon
Organizational commitment,The field of study related to Organizational commitment.
Popularity,"how much a person, idea, item or other concept is liked, attracts people, dominates or is regarded as superior"
Forcing (mathematics),technique invented by Paul Cohen for proving consistency and independence results
Welding,fabrication or sculptural process for joining materials
COPD,type of obstructive lung disease characterized by long-term poor airflow
Asset (computer security),"any data, device, or other component of the environment that supports information-related activities"
Mercury (programming language),functional logic programming language
Caspase,family of cysteine proteases
Myeloid,The field of study related to Myeloid.
Shell (structure),structural element in solid mechanics
Proteome,"set of proteins that can be expressed by a genome, cell, tissue, or organism"
Human genome,complete set of nucleic acid sequence for humans
Stakeholder,"groups without whose support the organization would cease to exist: government, employees, customers, suppliers, creditors, community, trade unions, owners, investors, etc."
Interferometry,measurement method using interference of waves
Amine gas treating,removal of impurities from gases by scrubbing them in aqueous solutions of various alkylamines
Chaotic,franchise originally a Danish trading card game
Peripheral,"hardware device which attaches to a computer and which provided input, output, storage or communication facilities"
Service quality,comparison of perceived expectation of a service with perceived performance
Mean squared error,estimation theory
Compensation (psychology),psychological strategy
Heuristics,"in engineering, experience-based methods used to reduce the need for calculations"
Ankle,region where the foot and the leg meet
Temperate climate,main climate class
Unit (ring theory),"in mathematics, an invertible element or a unit in a ring R"
Genetic association,link between a disease and the causal genetic entity
Sputtering,emission of surface atoms through energetic particle bombardment
Embedding,injective and structure-preserving map
Projection (relational algebra),concept in relational algebra
Terminology,academic discipline studying terms and their general uses
Moderation,"statistics and regression analysis, moderation occurs when the relationship between two variables depends on a third variable"
Analyte,"chemical substance being analyzed, especially in clinical chemistry"
Recombination,epoch at which charged electrons and protons first became bound to form electrically neutral hydrogen atoms
Emulsion,mixture of two or more liquids that are normally immiscible
Juvenile,"individual organism that has not yet reached its adult form, sexual maturity, size;if transition from juvenile to fully mature is a more prolonged process (puberty for example), then juveniles during this transformation are sometimes called subadults"
Surface tension,elastic tendency of a fluid surface which makes it acquire the least surface area possible
Consciousness,the state or quality of sentience or awareness of internal or external existence
Tomography,imaging by sections or sectioning
Postsynaptic potential,Any process that modulates the potential difference across a post-synaptic membrane.
Western blot,analytical technique used in molecular biology
Suppressor,device which reduces sound intensity or muzzle flash on a firearm
Troposphere,lowest layer of the atmosphere
In situ,"Latin phrase that translates literally to ""on site""; used to describe the location of something in its customary or unaltered place or position"
Transparency (behavior),"operating in such a way that it is easy for others to see what actions are performed; implies openness, communication, and accountability."
Lineage (genetic),series of mutations which connect an ancestral genetic type to derivative type
Supply chain management,management flow of goods and services
Ideal (ethics),principle or value that one actively pursues as an ethical goal
Soft tissue,"the tissues that connect, support, or surround other structures and organs of the body, not being hard tissue; tendons, ligaments, fascia, skin, fibrous tissues, fat, and synovial membranes (connective tissue), and muscles, nerves and blood vessels"
Style (visual arts),"classification of an art work, based on how it is perceived by the audience, specific to an artist or shared with other works of the same movement or school"
Chelation,chemical reaction of forming chelate
Metagenomics,study of genes found in the environment
Inflation (cosmology),theory of rapid expansion of the universe
Dopant,trace impurity element that is inserted into a substance (in very low concentrations) to alter the electrical or optical properties of the substance
Machining,process in which a piece of raw material is cut into a desired final shape and size by a controlled material-removal process; manufacturing process
Thematic analysis,method for analysing qualitative data
A priori and a posteriori,"two types of knowledge, justification, or argument"
Luteinizing hormone,gonadotropin secreted by the adenohypophysis
Harm,moral and legal concept
Corporate social responsibility,form of corporate self-regulation integrated into a business model
Connection (principal bundle),Ehresmann connection on a principal bundle that is compatible with the group action
Stock market,public entity for the trading of company stocks and shares
Anger,intense emotional state that sometimes results in combative and destructive actions
Neurotrophic factors,The field of study related to Neurotrophic factors.
Vocabulary,body of words used in a particular language
Enthalpy,measure of energy in a thermodynamic system; thermodynamic quantity equivalent to the total heat content of a system
Extant taxon,branch of biology that studies living organisms
Algebraic number,complex number that is a root of a non-zero polynomial in one variable with rational coefficients
Soil carbon,solid carbon stored in global soils
Momentum (technical analysis),simple technical analysis indicators
Chip,digital communications term
Permeation,"penetration of a permeate (such as a liquid, gas, or vapor) through a solid"
Major depressive disorder,"all-encompassing low mood accompanied by low self-esteem, and by loss of interest or pleasure in normally enjoyable activities"
Synaptic plasticity,"the ability of synapses to strengthen or weaken over time, in response to increases or decreases in their activity"
Formalism (music),music term; concept that a composition's meaning is entirely determined by its form
Lymph,fluid that circulates throughout lymphatic system
Adjuvant,Any pharmacological or immunological agent that modifies or enhances the effect of other agents such as drugs or vaccines while having few if any direct effects when given by itself.
CINAHL,database of nursing and health literature
Mineralization (soil science),"in soil science, decomposition or oxidation of the chemical compounds in organic matter"
Laminar flow,flow where fluid particles follow smooth paths in layers
Missense mutation,genetic point mutation that results in an amino acid change in a protein
Electromyography,electrodiagnostic medicine technique for evaluating and recording the electrical activity produced by skeletal muscles
Fishing,activity of trying to catch fish
Transverse plane,anatomical plane that divides the body into superior and inferior parts
Liposome,composite structures made largely of phospholipids
Gait,pattern of movement of the limbs of animals
Cloning (programming),The field of study related to Cloning (programming).
Serotype,infraspecific name
Documentation,set of documents providing knowledge
Storm,any disturbed state of an astronomical body's atmosphere
Nanotube,"tiny, tube shaped molecular structure synthesized by using chemical reaction"
Nonparametric statistics,branch of statistics that is not based solely on parametrized families of probability distributions
Feature selection,procedure in machine learning and statistics
Homotopy,continuous deformation between two continuous maps
Lithosphere,"rigid, outermost shell of a terrestrial-type planet or natural satellite that is defined by its rigid mechanical properties"
Reflex,"automatic, subconscious response to a stimulus"
Accountability,"concept of responsibility in ethics, governance and decision-making, which encompasses answerability, blameworthiness, liability, and the expectation of account-giving"
Wildlife,undomesticated organisms that grow or live wild in an area without being introduced by humans
Senescence,gradual deterioration of function characteristic of most complex lifeforms
Fractal,mathematical set of non-integral dimension
Dark matter,mysterious non-luminous matter (and/or radiation) comprising most of the matter in our observable universe
Profitability index,mathematical economic formula
Oxygen evolution,the process of generating molecular oxygen through chemical reaction
Steric effects,geometric aspects of ions and molecules affecting their shape and reactivity
Synchronization (alternating current),process of matching the speed and frequency of a generator or other source to a running alternating current power network
Information system,"combination of information, resources, activities and people that support tasks in an organization; group of components that interact to produce information"
Industrial engineering,branch of engineering which deals with the optimization of complex processes or systems
Random forest,statistical algorithm that is used to cluster points of data in functional groups
Oscillation (cell signaling),type of cell signaling characterized by the periodic change of the system in time
Urea,the diamide of carbonic acid
Neurogenesis,generation of cells within the nervous system
Biodiesel,vegetable oil- or animal fat-based diesel fuel
Cell type,metaclass used to distinguish between morphologically or phenotypically distinct cell forms
Immunoglobulin E,Immunoglobulin E (IgE) Antibody
Microsome,cellular debris
Bacillus subtilis,catalase-positive bacterium
Nanocrystalline material,The field of study related to Nanocrystalline material.
Overhead (engineering),The field of study related to Overhead (engineering).
Endosome,vacuole to which materials ingested by endocytosis are delivered.
Reproducibility,agreement with previous measurements using the same methodology in the same context
Human rights,inalienable fundamental rights to which a person is inherently entitled
Harmonic,component of a wave whose frequency is a multiple of the fundamental frequency
Legislation,law enacted by a legislature or other governing body
Depolarization,decrease in the absolute value of a cell's membrane potential
Sea surface temperature,water temperature close to the ocean's surface
Stacking,"attractive, noncovalent interactions between aromatic rings"
Heme,class of metal complexes of ferrous ion and porphyrin; component of hemoglobin and some other biologically important hemoproteins
Plan (archaeology),The field of study related to Plan (archaeology).
Nucleophile,chemical species that donates an electron pair to form a chemical bond in relation to a reaction.
Scaffold,"term that comes from the Ruby on Rails framework, which is a facility to construct most of the logic and views needed to do common data access operations, such as CRUD"
Cause of death,"specific disease or injury resulting in a human's death, which may be recorded on a death certificate"
Neuroinflammation,central nervous system disease that is characterized by neuron inflammation
Refractory (planetary science),"Materials with high condensation temperatures, contrasted with volatiles"
Immunosuppression,decreased resistance to infection; reduction of the activation or efficacy of the immune system
Bilayer,double layer of closely packed atoms or molecules
Brittleness,breakage from stress without signficant plastic deformation
Sign (mathematics),number property of being positive or negative
Alternative splicing,The process of generating multiple mRNA molecules from a given set of exons by differential use of exons from the primary transcript(s) to form multiple mature mRNAs that vary in their exon composition.
Poetry,literary style characterized by a strong expressiveness of words
Rhizosphere,biome located around plant roots
Motility,"Ability to move spontaneously and actively, using metabolic energy"
Shareholder,individual or organization that owns part of a corporation through shares of its stock
Residue (chemistry),"in chemistry, whatever remains or acts as a contaminant after a given class of events"
Lipid bilayer,A thin polar membrane made of two layers of lipid molecules
Principal (computer security),authenticated entity in computer security
Phagocytosis,"An endocytosis process that results in the engulfment of external particulate material by phagocytes. The particles are initially contained within phagocytic vacuoles (phagosomes), which then fuse with primary lysosomes to effect digestion of the par"
Basal ganglia,"Subcortical nuclei, of varied origin, in the brains of vertebrates"
Visual analogue scale,scale
TRACE (psycholinguistics),model of speech perception
Latin Americans,citizens or residents of Latin America
Latency (audio),delay in audio systems
Smoothing,dataset modification using an approximating function to capture important patterns in the data while leaving out noise
Family planning,"planning of when to have children, and the use of birth control and other techniques to implement such plans"
T-cell receptor,molecule found on the surface of some immune cells
Renin–angiotensin system,hormone system that is involved in the regulation of the plasma sodium concentration and arterial blood pressure
Luminosity,total amount of radiant electromagnetic power emitted by an object per unit time
Surface plasmon resonance,Physical phenomenon of electron resonance
Statement (logic),"meaningful declarative sentence that is either true or false, or that which a true or false declarative sentence asserts"
Quality of service,traffic prioritization and measure of network performance
Supersymmetry,symmetry between bosons and fermions in certain physical systems
Horse,Any block of rock completely separated from the surrounding rock either by mineral veins or fault planes.
Mass transfer,"net movement of mass from one location, usually meaning a stream, phase, fraction or component, to another"
Degree (music),the position of a particular musical note on a scale relative to the tonic
Reaction mechanism,any model explaining a chemical reaction
Cretaceous,third and last period of the Mesozoic era
Soil organic matter,horticulture
Mainstream,common current thought of the majority
Livestock,"domesticated animals raised in an agricultural setting to produce commodities such as food, fiber and labor"
Vomiting,forcible expulsion of the contents of the stomach through the mouth
Distortion (music),"form of audio signal processing giving ""fuzzy"" sound"
Atomic orbital,mathematical function that describes the wave-like behavior of either one electron or a pair of electrons in an atom
Modalities,key concept in structuration theory
New product development,complete process of bringing a new product to market
Polar,type of cataclysmic variable binary star system
Spore,"unit of asexual reproduction that may be adapted for dispersal and for survival, often for extended periods of time, in unfavorable conditions; spores form part of the life cycles of many plants, algae, fungi and protozoa"
Wearable computer,"Small computing devices (nowadays usually electronic) that are worn under, with, or on top of clothing"
Publishing,"process of production and dissemination of literature, music, or information"
Nitride,chemical compound containing nitrogen in a formal oxidation state of −3
Visual perception,series of events required for an organism to receive a visual stimulus
Fauna,set of animal species in any particular region and time
Acetylation,reaction that introduces an acetyl functional group into a chemical compound.
Neural stem cell,self-renewing cells that generate the main phenotypes of the nervous system
Islet,very small island
Dentate gyrus,part of a brain region known as the hippocampus which is part of the hippocampal formation
Predator,franchise of science fiction action horror films based on a race of fictional extraterrestrials
Conversation,interactive communication between two or more people
Grading (engineering),"civil engineering term; the work of ensuring a level base, or one with a specified slope, for a construction work"
Per capita,"Latin phrase; ""by heads""/""for each head"""
Anthropometry,human physiometrics
Probiotic,"live microorganisms intended to provide health benefits when consumed, generally by improving or restoring the gut flora"
Morphogenesis,biological process that causes an organism to develop its shape
Texture (cosmology),cosmological term
Eating disorders,"habit of eating either insufficient or excessive food, to the detriment of health"
Center (category theory),center of a strict monoidal category
Infiltration (HVAC),"unintentional or accidental introduction of outside air into a building, typically through cracks in the building envelope and through use of doors for passage"
Wafer,thin slice of semiconductor material used in the fabrication of integrated circuits
Herbivore,animal anatomically and physiologically adapted to eating plant material
Gene duplication,duplication of a gene sequence within a genome
Metastability,stable state of a dynamical system other than the system's state of least energy
Derivative (finance),financial instrument whose value is based on one or more underlying assets
Graphics,visual presentation on some surface
Condensation,change of the physical state of matter from gas phase into liquid phase; reverse of evaporation
Microbial population biology,The field of study related to Microbial population biology.
Circular dichroism,dichroism involving circularly polarized light.
Volumetric flow rate,volume of fluid which passes per time
Resuscitation,process of correcting physiological disorders in an acutely unwell patient
Seedling,young seed plant
Ingestion,consumption of a substance by an organism
Electrospinning,The field of study related to Electrospinning.
Pollination,biological pollination process occurring in plants
Digital signal processing,mathematical manipulation of an information signal
Ambiguity,type of uncertainty of meaning in which several interpretations are plausible
Obstructive sleep apnea,obstruction of the upper airway during sleep
Fuzzy set,sets whose elements have degrees of membership
Inverter,logic gate implementing negation
Carbide,inorganic compound group
Glucocorticoid,class of corticosteroids
Homology (biology),"existence of shared ancestry between a pair of structures, or genes, in different taxa"
Anaerobic exercise,physical exercise intense enough to cause lactate formation
Voting,method for a group such as a meeting or an electorate to make a decision or express an opinion
Concomitant,statistical term; concept arises when one sorts the members of a random sample according to corresponding values of another random sample
Facies,"body of rock with specified characteristics, smallest unit in geology"
Myosin,Superfamily of motor proteins
CLARITY,method of making brain tissue transparent
Contraction (grammar),grammar
CRISPR,"family of DNA sequences in bacteria, contain snippets of DNA from viruses that have attacked the bacterium, are used by the bacterium to detect and destroy DNA from further attacks by similar viruses"
Thalamus,part of the brain responsible for sleep regulation and relaying sensory signals
Long-term potentiation,persistent strengthening of synapses based on recent patterns of activity
Regularization (linguistics),"in linguistics, replacement of irregular forms by regular ones"
Linear programming,programming method to achieve the best outcome in a mathematical model
Arousal,physiological and psychological state of being awoken
Discontinuation,ceasing of a medication treatment for a patient
Confusion,state of being bewildered or unclear in one’s mind about something
Reef,feature lying beneath the surface of the water
Ultrasonic sensor,acoustic sensor
Hydroxide,family of the hydroxide salts
Light-emitting diode,semiconductor light source that emits light when current flows through it
Biogeochemical cycle,pathway by which a chemical element or molecule moves through both biotic and abiotic compartments of Earth
Nucleic acid sequence,succession of letters that indicate the order of nucleotides within a DNA (using GACT) or RNA (GACU) molecule
Shear stress,component of stress coplanar with a material cross section
Vertebrate,subphylum of chordates
DNA microarray,use of large set of oligonucleotide probes
Dry matter,The field of study related to Dry matter.
Pipeline (software),chain of processing software elements
Polyurethane,polymer composed of a chain of organic units joined by carbamate (urethane) links
Fraction (chemistry),"in chemistry, the result of a fractionating separation process"
Volume fraction,dimensionless quantity
Intron,a sequence within a gene that is removed by RNA splicing during maturation of the final mRNA
Tumor progression,the third and last phase in tumor development
Metamorphic rock,"rock arising from metamorphism, in which an original rock (either sedimentary, igneous, or another metamorphic rock) is subjected to heat (>600 °C) and pressure (>200 MPA) causing profound physical or chemical change"
Tensor (intrinsic definition),mathematical approach to the notion of tensor as an element of a tensor product
Immunogenicity,"ability of a foreign substance, such as an antigen, to provoke an immune response in the body of a human or other animal such as a humoral or cell-mediated immune response"
Fusion protein,Protein created by joining other proteins into a single polypeptide
Standard deviation,dispersion of the values ​​of a random variable around its expected value
Cracking,thermal or catalytic decomposition of a compound such as a hydrocarbon into chemical species of smaller molecular weight
Selenium,chemical element with symbol Se and atomic number 34
Bridge (graph theory),An edge in a node-link graph whose removal would disconnect the graph
Fluoride,chemical compound that contains fluoride ion
Elastic modulus,physical property that measures the stiffness of an elastic material
Bayesian inference,method of statistical inference in which Bayes' theorem is used to update the probability for a hypothesis as more evidence or information becomes available
Database transaction,The field of study related to Database transaction.
Statistic,single measure of some attribute of a sample
Wavelet transform,mathematical technique used in data compression and analysis
Angular momentum,measure of the extent to which an object will continue to rotate in the absence of an applied torque
Conjugate,for square roots
Silicate,"class of chemical compounds, salts and esters of silicic acids"
Open reading frame,DNA section marked with start and stop codon of different length
Fermion,quantum system whose wave function changes when exchanging identical instances
Plateau (mathematics),The field of study related to Plateau (mathematics).
Heritability,statistic used in breeding and genetics
Realization (probability),statistical data type
Random variable,variable representing a random phenomenon
Rheumatology,"medical specialty dealing with autoimmune diseases, especially those of joints and connective tissues"
Ambulatory,Covered passage in a large church
Market liquidity,ability of an asset to be bought or sold on the market without causing a drastic change in the asset's price
Serotonergic,"drug used for its effects on serotonergic systems. Among these are drugs that affect serotonin receptors, the life cycle of serotonin, and the survival of serotonergic neurons"
Supernova,star exploding at the end of its stellar lifespan
Dispersity,The field of study related to Dispersity.
Colonization,establishment and development of settlements by people or animals
Hadron,quantum particle: bound system of quark(s) and/or antiquark(s)
Penetration (warfare),"breaching of, and moving past, a defensive military line"
Electrolysis,technique that uses a direct electric current to drive an otherwise non-spontaneous chemical reaction
Electrophoresis,using an electrical potential to move material through a defined matrix in order to separate it by its resistance to movement and its charge
Air quality index,measure of pollution
Pancreatitis,human disease involving the inflammation of the pancreas
Dark energy,"repulsive property, theorized to make up most of our universe in order to explain its observed expansion; has constant energy density"
Langmuir,The field of study related to Langmuir.
Gauge (firearms),bore diameter of firearms
Burnout,practice of spinning wheels while keeping vehicle stationary
Waveform,the shape and form of a signal such as a wave moving in a physical medium or an abstract representation
Commerce,"the exchange of goods and services, especially on a large scale"
Salient,battlefield feature which projects into enemy territory
Accretion (finance),change in the price of a bond bought at a discount to the par value of the bond - opposite of amortization
